-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
27.66671,85.35001,2013,04,08,    0.00,    5.70,   33.77,   83.78,   15.50,   19.62,    2.71,    2.73,   27.09,   11.59,   19.48
27.66671,85.35001,2013,04,09,    0.00,    5.76,   33.50,   83.94,   11.90,   19.51,    3.11,    3.13,   26.03,   14.13,   19.82
27.66671,85.35001,2013,04,10,    0.08,    5.32,   29.18,   83.86,   15.39,   20.68,    1.94,    1.97,   28.73,   13.33,   20.74
27.66671,85.35001,2013,04,11,    0.00,    5.52,   30.44,   83.83,   13.87,   20.78,    2.26,    2.30,   28.60,   14.73,   20.65
27.66671,85.35001,2013,04,12,    0.00,    5.46,   29.33,   83.95,   14.32,   21.26,    2.17,    2.20,   28.55,   14.22,   21.09
27.66671,85.35001,2013,04,13,    0.00,    4.45,   24.23,   84.02,   14.32,   20.82,   -0.53,   -0.47,   28.65,   14.32,   20.90
27.66671,85.35001,2013,04,14,    0.00,    4.41,   25.21,   83.95,   15.83,   20.62,   -0.74,   -0.68,   28.05,   12.22,   20.12
27.66671,85.35001,2013,04,15,    0.12,    5.59,   32.49,   83.71,   11.36,   20.30,    2.62,    2.64,   25.86,   14.49,   19.78
27.66671,85.35001,2013,04,16,    0.40,    6.34,   38.66,   83.55,   11.82,   19.99,    4.36,    4.37,   24.87,   13.05,   18.96
27.66671,85.35001,2013,04,17,    0.03,    7.51,   47.62,   83.53,   12.24,   20.26,    6.68,    6.68,   24.64,   12.40,   18.33
27.66671,85.35001,2013,04,18,    0.81,    6.75,   41.96,   83.69,   13.89,   20.01,    4.89,    4.92,   25.46,   11.57,   18.69
27.66671,85.35001,2013,04,19,    1.17,    6.85,   42.94,   83.80,   12.16,   19.87,    5.41,    5.42,   24.86,   12.70,   18.58
27.66671,85.35001,2013,04,20,   11.96,    9.45,   73.21,   83.91,    5.80,   15.69,    9.81,    9.81,   18.56,   12.76,   15.23
27.66671,85.35001,2013,04,21,    5.44,    9.40,   84.36,   84.00,    3.85,   13.43,    9.83,    9.83,   15.06,   11.20,   12.97
27.66671,85.35001,2013,04,22,    0.82,    8.69,   70.36,   84.05,    8.03,   15.97,    8.79,    8.79,   18.96,   10.93,   14.56
27.66671,85.35001,2013,04,23,    2.24,    8.78,   65.30,   84.17,    9.16,   17.20,    9.03,    9.03,   21.03,   11.88,   15.91
27.66671,85.35001,2013,04,24,    0.97,    8.67,   60.26,   84.16,   10.76,   18.35,    8.85,    8.85,   22.26,   11.50,   16.98
27.66671,85.35001,2013,04,25,    0.08,    8.06,   51.10,   84.08,   12.57,   19.48,    7.80,    7.81,   24.85,   12.28,   18.43
27.66671,85.35001,2013,04,26,    0.33,    7.95,   46.08,   84.06,   12.45,   20.60,    7.66,    7.66,   26.54,   14.09,   19.87
27.66671,85.35001,2013,04,27,    2.38,    8.07,   43.71,   83.81,   12.36,   21.43,    7.77,    7.77,   27.62,   15.25,   20.91
27.66671,85.35001,2013,04,28,    0.10,    7.44,   38.04,   83.70,   12.41,   22.62,    6.60,    6.61,   28.19,   15.79,   21.84
27.66671,85.35001,2013,04,29,    0.00,    7.83,   40.41,   83.81,   12.75,   22.42,    7.42,    7.43,   28.43,   15.68,   21.71
27.66671,85.35001,2013,04,30,    0.00,    7.14,   35.08,   83.81,   14.16,   23.04,    6.06,    6.07,   29.74,   15.58,   22.53
27.66671,85.35001,2013,05,01,    0.00,    6.99,   33.32,   83.57,   14.23,   23.66,    5.76,    5.76,   30.55,   16.32,   22.98
27.66671,85.35001,2013,05,02,    0.32,    5.22,   26.04,   83.35,   13.63,   21.95,    1.31,    1.36,   29.37,   15.74,   22.20
27.66671,85.35001,2013,05,03,    0.01,    3.86,   19.99,   83.35,   12.87,   21.10,   -2.67,   -2.56,   28.70,   15.83,   21.58
27.66671,85.35001,2013,05,04,    0.00,    4.53,   24.86,   83.56,   15.25,   21.11,   -0.46,   -0.39,   28.42,   13.17,   20.69
27.66671,85.35001,2013,05,05,    0.77,    6.96,   39.73,   83.74,   13.12,   21.21,    5.42,    5.43,   26.41,   13.29,   20.06
27.66671,85.35001,2013,05,06,    1.08,    7.38,   40.44,   83.69,   13.23,   21.66,    6.41,    6.42,   27.16,   13.93,   20.72
27.66671,85.35001,2013,05,07,    4.28,    8.08,   44.04,   83.67,   12.15,   21.41,    7.77,    7.77,   26.79,   14.65,   20.79
27.66671,85.35001,2013,05,08,    2.04,    7.21,   38.62,   83.57,   13.17,   21.35,    6.06,    6.07,   27.71,   14.55,   21.05
27.66671,85.35001,2013,05,09,    1.66,    6.77,   34.16,   83.58,   13.81,   22.27,    5.21,    5.22,   28.98,   15.17,   22.05
27.66671,85.35001,2013,05,10,    9.99,    7.59,   38.66,   83.64,   13.56,   22.08,    6.75,    6.76,   28.80,   15.24,   21.89
27.66671,85.35001,2013,05,11,    0.52,    7.18,   35.08,   83.56,   12.27,   22.76,    5.97,    5.98,   29.20,   16.92,   22.57
27.66671,85.35001,2013,05,12,    2.44,    6.66,   34.90,   83.73,   13.49,   22.04,    4.79,    4.81,   28.50,   15.01,   21.44
27.66671,85.35001,2013,05,13,    0.36,    6.63,   37.83,   83.71,   13.06,   21.37,    4.93,    4.94,   26.58,   13.53,   20.07
27.66671,85.35001,2013,05,14,    0.00,    7.40,   40.87,   83.62,   12.02,   22.12,    6.54,    6.54,   26.75,   14.73,   20.57
27.66671,85.35001,2013,05,15,    0.00,    8.06,   42.84,   83.59,   13.15,   23.22,    7.81,    7.81,   27.61,   14.46,   21.17
27.66671,85.35001,2013,05,16,    2.21,    7.89,   41.72,   83.48,   12.03,   22.79,    7.44,    7.45,   27.52,   15.49,   21.24
27.66671,85.35001,2013,05,17,    7.24,    7.59,   41.89,   83.65,   10.98,   21.51,    6.89,    6.89,   26.66,   15.68,   20.58
27.66671,85.35001,2013,05,18,    0.84,    7.21,   38.95,   83.67,   11.92,   21.87,    6.22,    6.23,   27.43,   15.51,   20.94
27.66671,85.35001,2013,05,19,   10.37,    7.45,   39.02,   83.69,   13.13,   22.06,    6.52,    6.53,   28.26,   15.13,   21.46
27.66671,85.35001,2013,05,20,   27.91,    8.98,   48.72,   83.69,   10.64,   21.15,    9.34,    9.34,   26.47,   15.83,   20.86
27.66671,85.35001,2013,05,21,    2.57,    9.59,   49.90,   83.64,   11.40,   22.08,   10.31,   10.31,   27.46,   16.07,   21.52
